date,away,home,pred_winner,fav_win_prob,total_pick_long,total_pick_short,total_val,total_confidence,under_conf,under_100_ret,under_pct_ret,over_conf,over_100_ret,over_pct_ret,runline_pick_long,runline_pick_short,runline_val,runline_confidence,away_rl_conf,away_rl_100_ret,away_rl_pct_ret,home_rl_conf,home_rl_100_ret,home_rl_pct_ret,ml_pick_long,ml_pick_short,ml_val,moneyline_confidence,away_ml_conf,away_ml_100,away_ml_pct_ret,home_ml_conf,home_ml_100_ret,home_ml_pct_ret,game,pred_away_runs,pred_away_hits,pred_away_errors,pred_away_at_bats,pred_away_homeruns,pred_away_walks,pred_away_strikeouts,pred_home_runs,pred_home_hits,pred_home_errors,pred_home_at_bats,pred_home_homeruns,pred_home_walks,pred_home_strikeouts
2015-04-09,NYM,WSH,WSH,67.6%,Over 6.0 (-116),Over,6.0,5,24.90%,$55.30,-44.70%,67.47%,$136.00,36.00%,WSH -1.5 (+218),Home,-1.5,3,49.69%,$70.50,-29.50%,50.31%,$160.00,60.00%,WSH -108,Home,,4,32.45%,$64.90,-35.10%,67.55%,$130.10,30.10%,1,3.27,8.11,0.68,34.5,0.82,2.44,8.68,5.09,9.49,0.59,33.49,1.22,3.75,5.77
2015-04-09,MIN,DET,DET,56.3%,Over 9.0 (-106),Over,9.0,1,42.80%,$93.80,-6.20%,46.70%,$101.40,1.40%,No Pick,No Pick,,No Pick,61.51%,$99.20,-0.80%,38.49%,$96.20,-3.80%,No Pick,No Pick,,No Pick,43.75%,$97.60,-2.40%,56.25%,$98.50,-1.50%,1,4.5,9.49,0.72,35.55,1.11,3.38,7.74,4.93,10.04,0.63,34.27,1.1,3.56,5.63
2015-04-09,CLE,HOU,CLE,51.4%,Under 9.0 (-104),Under,9.0,1,47.29%,$103.60,3.60%,42.22%,$91.70,-8.30%,No Pick,No Pick,,No Pick,39.23%,$99.60,-0.40%,60.77%,$97.20,-2.80%,CLE -105,Away,,1,51.35%,$100.30,0.30%,48.65%,$95.90,-4.10%,1,4.7,9.79,0.62,35.56,1.22,3.38,6.3,4.24,8.99,0.68,33.5,1.04,3.39,7.02
2015-04-09,CHW,KC,KC,60.8%,Over 8.5 (-115),Over,8.5,1,42.84%,$87.40,-12.60%,57.16%,$106.90,6.90%,KC -1.5 (+150),Home,-1.5,1,56.83%,$91.70,-8.30%,43.17%,$107.90,7.90%,KC -133,Home,,1,39.20%,$87.40,-12.60%,60.80%,$106.50,6.50%,1,4.23,9.01,0.76,34.8,0.91,3.14,6.61,5.19,9.53,0.67,33.76,1.22,3.91,5.82
2015-04-09,TEX,OAK,OAK,63.6%,No Pick,No Pick,,No Pick,48.35%,$97.70,-2.30%,51.65%,$97.40,-2.60%,OAK -1.5 (+146),Home,-1.5,1,53.86%,$87.90,-12.10%,46.14%,$113.50,13.50%,OAK -153,Home,,1,36.37%,$87.60,-12.40%,63.63%,$105.20,5.20%,1,3.31,8.1,0.73,34.16,0.82,3.04,7.47,4.63,9.35,0.61,33.49,1.3,3.79,5.71
2015-04-09,SF,SD,SD,50.9%,Under 7.0 (-131),Under,7.0,2,54.55%,$109.50,9.50%,33.29%,$83.00,-17.00%,SF +1.5 (-191),Away,1.5,1,66.73%,$101.70,1.70%,33.27%,$91.50,-8.50%,SF +120,Away,,1,49.09%,$108.00,8.00%,50.91%,$90.10,-9.90%,1,3.05,8.3,0.63,34.41,0.92,3.22,7.85,2.85,8.54,0.55,33.13,0.75,2.62,5.93
2015-04-09,BOS,PHI,PHI,51.2%,Over 7.5 (+107),Over,7.5,2,46.41%,$85.70,-14.30%,53.59%,$110.90,10.90%,PHI +1.5 (-148),Home,1.5,1,36.67%,$86.50,-13.50%,63.33%,$106.10,6.10%,PHI +114,Home,,1,48.79%,$88.40,-11.60%,51.21%,$109.60,9.60%,1,4.16,9.05,0.67,34.89,0.98,3.06,6.38,4.0,8.49,0.64,32.94,0.8,3.79,6.37
2015-04-09,TOR,NYY,NYY,52.1%,Over 7.0 (-120),Over,7.0,5,23.74%,$55.40,-44.60%,65.79%,$134.70,34.70%,NYY +1.5 (-140),Home,1.5,2,35.83%,$82.10,-17.90%,64.17%,$110.00,10.00%,NYY +118,Home,,2,47.94%,$85.40,-14.60%,52.06%,$113.50,13.50%,1,4.79,9.81,0.63,35.81,1.46,2.74,7.4,4.73,9.01,0.58,33.47,1.16,4.11,6.13
2015-04-10,TOR,BAL,BAL,53.8%,Over 8.5 (-117),Over,8.5,1,45.94%,$94.60,-5.40%,54.06%,$100.30,0.30%,No Pick,No Pick,,No Pick,63.97%,$99.10,-0.90%,36.03%,$96.20,-3.80%,No Pick,No Pick,,No Pick,46.23%,$96.60,-3.40%,53.77%,$99.30,-0.70%,1,4.47,9.31,0.63,35.4,1.26,3.49,6.92,4.61,9.5,0.58,34.06,1.2,3.21,5.78
2015-04-10,HOU,TEX,HOU,53.6%,Over 8.0 (+102),Over,8.0,2,38.77%,$79.40,-20.60%,53.24%,$116.90,16.90%,HOU +1.5 (-203),Away,1.5,2,70.83%,$105.70,5.70%,29.17%,$83.40,-16.60%,HOU +101,Away,,1,53.58%,$107.70,7.70%,46.42%,$89.00,-11.00%,1,4.86,9.73,0.67,35.68,1.18,2.71,6.26,4.14,8.66,0.66,33.47,0.91,2.91,7.07
2015-04-10,CHC,COL,COL,60.1%,Over 10.0 (-107),Over,10.0,2,36.87%,$78.60,-21.40%,55.53%,$116.30,16.30%,COL -1.5 (+153),Home,-1.5,1,57.60%,$92.30,-7.70%,42.40%,$107.30,7.30%,COL -133,Home,,1,39.94%,$89.10,-10.90%,60.06%,$105.20,5.20%,1,5.17,9.0,0.7,34.83,0.9,3.19,7.16,6.05,9.34,0.61,33.58,1.09,3.85,6.37
2015-04-10,MIN,CHW,CHW,52.1%,Over 9.0 (-107),Over,9.0,2,36.26%,$79.60,-20.40%,53.54%,$115.30,15.30%,No Pick,No Pick,,No Pick,65.61%,$99.40,-0.60%,34.39%,$95.60,-4.40%,No Pick,No Pick,,No Pick,47.92%,$96.80,-3.20%,52.08%,$99.40,-0.60%,1,5.11,10.01,0.68,35.99,1.26,3.62,6.69,5.05,9.89,0.64,34.42,1.25,2.94,5.72
2015-04-10,DET,CLE,CLE,52.9%,Over 8.5 (-102),Over,8.5,1,47.41%,$91.30,-8.70%,52.59%,$104.10,4.10%,No Pick,No Pick,,No Pick,64.78%,$99.60,-0.40%,35.22%,$95.40,-4.60%,No Pick,No Pick,,No Pick,47.06%,$99.30,-0.70%,52.94%,$97.10,-2.90%,1,4.44,9.71,0.65,35.8,1.18,3.38,7.42,4.48,9.84,0.67,34.41,1.22,3.18,5.75
2015-04-10,WSH,PHI,WSH,60.1%,Over 7.5 (+103),Over,7.5,2,43.39%,$81.40,-18.60%,56.61%,$114.90,14.90%,WSH -1.5 (+111),Away,-1.5,1,48.37%,$102.10,2.10%,51.63%,$94.70,-5.30%,No Pick,No Pick,,No Pick,60.10%,$98.60,-1.40%,39.90%,$97.40,-2.60%,1,4.99,9.6,0.65,35.61,1.21,3.65,6.57,3.5,7.95,0.65,33.24,0.78,2.92,7.71
2015-04-10,BOS,NYY,NYY,59.2%,Under 8.0 (+104),Under,8.0,1,46.44%,$103.20,3.20%,45.40%,$92.40,-7.60%,NYY +1.5 (-170),Home,1.5,3,29.21%,$74.80,-25.20%,70.79%,$112.40,12.40%,NYY -108,Home,,2,40.83%,$81.70,-18.30%,59.17%,$114.00,14.00%,1,3.69,8.63,0.66,34.77,0.91,2.35,7.15,4.46,8.9,0.62,33.33,1.14,3.54,6.41
2015-04-10,TB,MIA,TB,53.0%,Over 7.5 (+102),Over,7.5,2,44.06%,$83.10,-16.90%,55.94%,$113.00,13.00%,TB +1.5 (-194),Away,1.5,2,70.31%,$106.60,6.60%,29.69%,$82.50,-17.50%,TB +111,Away,,2,53.00%,$111.80,11.80%,47.00%,$86.20,-13.80%,1,4.53,9.56,0.63,35.62,1.2,2.98,7.0,3.88,8.24,0.68,33.05,0.97,3.7,7.61
