,date,away,home,winner,home_runs,away_runs,total,home_wins,home_losses,home_win_perc,away_wins,away_losses,away_win_perc,home_cli,away_cli,game
422,2015-05-07,CIN,PIT,PIT,7.0,2.0,9.0,12.0,15.0,0.4444444444444444,14.0,13.0,0.5185185185185185,0.81,1.03,1
421,2015-05-07,CHC,STL,STL,5.0,1.0,6.0,20.0,7.0,0.7407407407407407,14.0,12.0,0.5384615384615384,1.41,1.25,1
420,2015-05-07,BAL,NYY,NYY,4.0,3.0,7.0,17.0,11.0,0.6071428571428571,12.0,13.0,0.48,1.36,1.08,1
419,2015-05-07,CLE,KC,KC,7.0,4.0,11.0,17.0,10.0,0.6296296296296297,10.0,16.0,0.38461538461538464,1.29,0.71,1
418,2015-05-07,MIA,SF,MIA,2.0,7.0,9.0,14.0,14.0,0.5,13.0,15.0,0.4642857142857143,1.0,0.84,1
416,2015-05-07,DET,CHW,DET,1.0,4.0,5.0,10.0,14.0,0.4166666666666667,17.0,11.0,0.6071428571428571,0.86,1.36,1
415,2015-05-07,LAD,MIL,LAD,4.0,14.0,18.0,9.0,19.0,0.32142857142857145,17.0,10.0,0.6296296296296297,0.37,1.25,1
414,2015-05-07,TEX,TB,TEX,4.0,5.0,9.0,15.0,13.0,0.5357142857142857,11.0,16.0,0.4074074074074074,1.07,0.77,1
413,2015-05-07,OAK,MIN,MIN,6.0,5.0,11.0,15.0,13.0,0.5357142857142857,12.0,17.0,0.4137931034482759,1.04,0.74,1
412,2015-05-07,SD,ARI,ARI,11.0,0.0,11.0,12.0,14.0,0.4615384615384616,15.0,14.0,0.5172413793103449,0.96,1.14,1
417,2015-05-07,HOU,LAA,HOU,2.0,3.0,5.0,13.0,15.0,0.4642857142857143,18.0,10.0,0.6428571428571429,1.15,1.52,1
436,2015-05-08,CHC,MIL,CHC,6.0,7.0,13.0,9.0,20.0,0.3103448275862069,14.0,13.0,0.5185185185185185,0.33,0.99,1
432,2015-05-08,MIA,SF,SF,6.0,0.0,6.0,14.0,15.0,0.4827586206896552,14.0,15.0,0.4827586206896552,0.9,0.97,1
435,2015-05-08,SD,ARI,SD,5.0,6.0,11.0,13.0,14.0,0.4814814814814815,15.0,15.0,0.5,1.02,1.06,1
434,2015-05-08,HOU,LAA,LAA,2.0,0.0,2.0,13.0,16.0,0.4482758620689655,19.0,10.0,0.6551724137931034,1.1,1.49,1
433,2015-05-08,BOS,TOR,TOR,7.0,0.0,7.0,14.0,15.0,0.4827586206896552,13.0,15.0,0.4642857142857143,0.98,0.95,1
431,2015-05-08,STL,PIT,STL,5.0,8.0,13.0,13.0,15.0,0.4642857142857143,21.0,7.0,0.75,0.98,1.35,1
424,2015-05-08,OAK,SEA,SEA,4.0,3.0,7.0,11.0,17.0,0.3928571428571429,12.0,18.0,0.4,0.75,0.74,1
429,2015-05-08,KC,DET,DET,6.0,5.0,11.0,18.0,11.0,0.6206896551724138,18.0,10.0,0.6428571428571429,1.51,1.49,1
428,2015-05-08,MIN,CLE,MIN,3.0,9.0,12.0,10.0,17.0,0.3703703703703704,16.0,13.0,0.5517241379310345,0.57,1.1,1
427,2015-05-08,ATL,WSH,WSH,9.0,2.0,11.0,14.0,15.0,0.4827586206896552,14.0,14.0,0.5,1.07,1.1,1
426,2015-05-08,BAL,NYY,NYY,5.0,4.0,9.0,18.0,11.0,0.6206896551724138,12.0,14.0,0.4615384615384616,1.4,1.0,1
425,2015-05-08,TEX,TB,TB,8.0,2.0,10.0,15.0,14.0,0.5172413793103449,12.0,16.0,0.42857142857142855,1.01,0.81,1
423,2015-05-08,NYM,PHI,PHI,3.0,1.0,4.0,10.0,19.0,0.3448275862068966,18.0,10.0,0.6428571428571429,0.59,1.34,1
430,2015-05-08,LAD,COL,LAD,1.0,2.0,3.0,11.0,15.0,0.4230769230769231,18.0,10.0,0.6428571428571429,0.9,1.37,1
449,2015-05-09,CIN,CHW,CIN,4.0,10.0,14.0,10.0,15.0,0.4,14.0,14.0,0.5,0.62,0.91,2
451,2015-05-09,MIN,CLE,MIN,4.0,7.0,11.0,10.0,18.0,0.35714285714285715,17.0,13.0,0.5666666666666667,0.5,1.13,1
450,2015-05-09,NYM,PHI,NYM,2.0,3.0,5.0,11.0,19.0,0.36666666666666653,18.0,11.0,0.6206896551724138,0.65,1.37,1
